,0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 124, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 126, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 127, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 128, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 129, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 130, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 131, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 132, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 133, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 134, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 135, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 136, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 137, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 138, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 139, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 140, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 141, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 142, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 143, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 144, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 145, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 146, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 147, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 148, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 149, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 150, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 151, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 152, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 153, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 154, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 155, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 156, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 157, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 158, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 159, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 160, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 161, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 162, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 163, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 164, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 165, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 166, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 167, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 168, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 169, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 170, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 171, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 172, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 173, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 174, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 175, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 176, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 177, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 178, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 179, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 180, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 181, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 182, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 183, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 184, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 185, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 186, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 187, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 188, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 189, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 190, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 191, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 192, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 193, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 194, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 195, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 196, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 197, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 198, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 199, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 200, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 201, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 202, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 203, '30.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 218, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 217, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 219, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 220, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 221, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 222, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 223, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 224, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 225, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 226, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 227, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 228, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 229, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 230, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 231, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 232, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 233, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 234, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 235, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 236, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 237, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 238, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 239, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 240, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 241, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 242, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 243, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 244, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 245, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 246, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 247, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 248, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 249, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 250, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 251, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 252, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 253, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 254, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 255, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 256, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 257, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 258, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 259, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 260, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 261, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 262, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 263, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 264, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 265, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 266, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 267, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 268, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 269, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 270, '8.0')",1
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 276, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 271, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 272, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 273, '5.0')",0
